time,tavg,tmin,tmax,prcp,season
09-12-1990,13.1,8.6,,0.0,winter
10-12-1990,15.2,8.8,,0.0,winter
11-12-1990,14.9,,24.1,0.0,winter
12-12-1990,16.2,9.5,,,winter
13-12-1990,14.7,,23.9,0.0,winter
14-12-1990,,,,,winter
15-12-1990,,,,,winter
16-12-1990,15.8,,25.5,0.0,winter
17-12-1990,13.8,,,0.0,winter
18-12-1990,17.2,,23.2,0.0,winter
19-12-1990,12.3,8.2,,0.0,winter
20-12-1990,12.3,4.7,21.5,0.0,winter
21-12-1990,,,,,winter
22-12-1990,14.3,,20.8,0.0,winter
23-12-1990,10.3,4.5,22.5,0.0,winter
24-12-1990,12.7,5.6,,0.0,winter
25-12-1990,13.2,10.0,23.1,0.0,winter
26-12-1990,15.5,9.8,23.6,0.0,winter
27-12-1990,,,,,winter
28-12-1990,19.4,10.4,25.5,0.0,winter
29-12-1990,17.4,,20.6,,winter
30-12-1990,11.7,,17.6,33.0,winter
31-12-1990,9.6,4.0,15.9,0.0,winter
01-01-1991,7.4,3.5,14.3,0.0,winter
02-01-1991,9.9,,15.4,0.0,winter
03-01-1991,10.0,4.4,,0.0,winter
04-01-1991,8.6,,17.5,0.0,winter
05-01-1991,11.1,2.4,19.1,,winter
06-01-1991,10.8,3.4,19.6,0.0,winter
07-01-1991,11.9,5.0,19.0,0.0,winter
08-01-1991,12.2,,18.8,0.0,winter
09-01-1991,12.0,6.4,19.4,0.0,winter
10-01-1991,12.3,6.9,20.2,0.0,winter
11-01-1991,12.9,7.1,20.0,0.0,winter
12-01-1991,12.5,7.0,19.1,0.0,winter
13-01-1991,11.1,5.2,19.1,0.0,winter
14-01-1991,11.6,,18.1,0.0,winter
15-01-1991,11.4,4.7,18.0,0.0,winter
16-01-1991,12.9,7.2,19.5,0.0,winter
17-01-1991,10.7,5.0,18.0,0.0,winter
18-01-1991,11.3,,18.3,0.0,winter
19-01-1991,10.2,5.3,,0.0,winter
20-01-1991,12.7,6.0,21.7,0.0,winter
21-01-1991,11.4,,,0.0,winter
22-01-1991,12.8,5.8,,0.0,winter
23-01-1991,15.4,,23.2,0.0,winter
24-01-1991,12.9,7.1,,0.0,winter
25-01-1991,16.7,9.0,25.6,0.0,winter
26-01-1991,17.9,10.3,26.3,0.0,winter
27-01-1991,20.3,11.6,29.7,0.0,winter
28-01-1991,22.1,13.2,30.0,0.0,winter
29-01-1991,16.5,,25.8,0.0,winter
30-01-1991,17.1,,24.1,0.0,winter
31-01-1991,,,,,winter
01-02-1991,16.3,,27.0,0.0,winter
02-02-1991,14.8,8.1,22.8,0.0,winter
03-02-1991,,,,,winter
04-02-1991,14.2,8.6,,0.0,winter
05-02-1991,17.1,,24.7,0.0,winter
06-02-1991,17.9,9.1,25.2,,winter
07-02-1991,15.8,,,0.0,winter
08-02-1991,19.9,11.1,25.2,0.0,winter
09-02-1991,19.8,12.8,27.6,0.0,winter
10-02-1991,19.2,,,,winter
11-02-1991,19.4,,,1.0,winter
12-02-1991,15.6,,,0.0,winter
13-02-1991,14.9,,,0.0,winter
14-02-1991,16.3,9.5,23.0,0.0,winter
15-02-1991,16.2,8.0,22.9,0.0,winter
16-02-1991,16.1,9.2,21.8,0.0,winter
17-02-1991,12.9,8.5,,0.0,winter
18-02-1991,13.9,,20.0,0.0,winter
19-02-1991,18.0,6.8,22.7,0.0,winter
20-02-1991,17.9,9.4,,,winter
21-02-1991,17.8,,26.5,0.0,winter
22-02-1991,21.9,,,0.0,winter
23-02-1991,20.1,,26.2,,winter
24-02-1991,20.9,15.4,28.8,0.0,winter
25-02-1991,18.1,15.3,,,winter
26-02-1991,,,,,winter
27-02-1991,19.7,,24.6,0.0,winter
28-02-1991,18.8,,,0.0,winter
01-03-1991,19.1,,24.7,0.0,spring
02-03-1991,17.1,,25.0,0.0,spring
03-03-1991,18.7,12.7,24.4,,spring
04-03-1991,21.2,,25.6,,spring
05-03-1991,18.7,,,0.0,spring
06-03-1991,19.7,,24.6,0.0,spring
07-03-1991,19.3,,25.8,0.0,spring
08-03-1991,19.6,,26.2,,spring
09-03-1991,24.0,,,,spring
10-03-1991,24.2,,,,spring
11-03-1991,22.4,,,0.0,spring
12-03-1991,22.0,14.0,31.6,0.0,spring
13-03-1991,20.4,,31.1,,spring
14-03-1991,24.7,13.7,29.2,,spring
15-03-1991,21.8,,29.4,0.0,spring
16-03-1991,22.7,13.6,30.1,0.0,spring
17-03-1991,22.1,,31.7,0.0,spring
18-03-1991,26.1,14.2,,0.0,spring
19-03-1991,25.3,,31.2,0.0,spring
20-03-1991,22.3,14.4,28.1,,spring
21-03-1991,23.6,,31.2,0.0,spring
22-03-1991,24.6,15.8,32.5,,spring
23-03-1991,21.2,,,,spring
24-03-1991,,,,,spring
25-03-1991,21.9,,28.4,0.0,spring
26-03-1991,22.3,15.1,30.4,0.0,spring
27-03-1991,21.3,17.0,,0.0,spring
28-03-1991,27.3,,33.1,0.0,spring
29-03-1991,28.9,,35.9,0.0,spring
30-03-1991,28.8,21.2,35.8,0.0,spring
31-03-1991,28.2,23.0,37.0,0.0,spring
01-04-1991,31.8,21.5,37.6,0.0,spring
02-04-1991,29.7,25.5,36.1,,spring
03-04-1991,28.2,22.0,,0.0,spring
04-04-1991,27.9,20.6,33.7,0.0,spring
05-04-1991,26.3,,33.9,0.0,spring
06-04-1991,27.1,19.0,33.2,0.0,spring
07-04-1991,26.3,20.1,32.0,0.5,spring
08-04-1991,24.3,,31.6,0.5,spring
09-04-1991,23.3,18.5,30.2,1.0,spring
10-04-1991,25.8,19.5,31.9,0.0,spring
11-04-1991,25.2,18.2,31.6,0.0,spring
12-04-1991,26.3,17.3,34.0,0.0,spring
13-04-1991,29.6,20.6,35.5,,spring
14-04-1991,27.3,21.4,33.4,0.8,spring
15-04-1991,27.9,19.3,34.2,0.0,spring
16-04-1991,25.6,18.4,31.4,0.0,spring
17-04-1991,25.2,18.7,31.3,0.0,spring
18-04-1991,25.1,16.5,33.3,0.0,spring
19-04-1991,26.4,17.2,34.4,0.0,spring
20-04-1991,28.2,,36.5,0.0,spring
21-04-1991,31.1,18.4,39.5,0.0,spring
22-04-1991,27.6,,34.7,,spring
23-04-1991,28.3,21.7,36.0,0.8,spring
24-04-1991,29.4,20.0,36.5,0.0,spring
25-04-1991,29.7,21.5,37.2,0.0,spring
26-04-1991,29.9,21.9,38.6,0.0,spring
27-04-1991,32.6,21.7,40.5,0.0,spring
28-04-1991,33.3,23.4,39.6,,spring
29-04-1991,29.9,,39.6,0.0,spring
30-04-1991,32.9,25.6,40.4,0.0,spring
01-05-1991,34.1,25.0,41.3,,spring
02-05-1991,33.2,,40.0,0.0,spring
03-05-1991,31.3,25.0,38.7,0.5,spring
